▁may ▁i ▁see ▁your ▁driver ' s ▁license ?	▁bo le h ▁say a ▁me l i hat ▁sim ▁and a ?
▁i ▁met ▁him ▁by ▁chance ▁at ▁the ▁airport ▁yesterday .	▁ke mar in ▁say a ▁tid ak ▁s eng a j a ▁b ert em u ▁den gan n ya ▁di ▁band ar a .
▁the ▁sun ▁is ▁larger ▁than ▁the ▁moon .	▁mat a ha ri ▁le bi h ▁bes ar ▁d ar ip ad a ▁b ul an .
▁may ▁i ▁use ▁that ?	▁bo le h ka h ▁a k u ▁men gg un ak an n ya ?
▁didn ' t ▁you ▁and ▁tom ▁ever ▁do ▁that ?	▁bu k ank a h ▁k am u ▁dan ▁tom ▁per na h ▁me l ak uk an ▁ha l ▁it u ?
▁tom ▁likes ▁to ▁listen ▁to ▁classical ▁music .	▁tom ▁su ka ▁m end eng ark an ▁mus ik ▁k l as ik .
▁if ▁you ▁don ' t ▁eat , ▁you ▁die .	▁k a u ▁a k an ▁mat i ▁j ik a ▁k a u ▁tid ak ▁m ak an .
▁ten ▁years ▁is ▁a ▁long ▁time ▁to ▁wait .	▁se p ul u h ▁ta h un ▁ad al a h ▁wa k tu ▁y ang ▁l ama ▁unt uk ▁men un gg u .
▁she ▁held ▁out ▁her ▁hand ▁and ▁i ▁shook ▁it .	▁i a ▁men g ul ur k an ▁t ang an n ya ▁dan ▁a k u ▁pun ▁men j ab at n ya .
▁i ' m ▁very ▁busy ▁these ▁days .	▁a k u ▁sang at ▁si b uk ▁a k h ir - ak h ir ▁in i .
▁happy ▁easter !	▁se l am at ▁ha ri ▁p ask a h !
▁i ▁have ▁a ▁girlfriend .	▁a k u ▁pun ya ▁pac ar .
▁you ▁don ' t ▁need ▁to ▁answer ▁that ▁question .	▁k am u ▁tid ak ▁per l u ▁men j aw ab ▁per t any a an ▁it u .
▁to ▁finish ▁updating , ▁restart ▁your ▁device .	▁unt uk ▁men y el es ai k an ▁pe mb ar uan , ▁sil ak an ▁n y al ak an ▁ ul ang ▁per ang k at ▁and a .
▁are ▁you ▁tired ?	▁k am u ▁cap ek ?
▁i ▁can ' t ▁stop ▁smoking .	▁a k u ▁tid ak ▁b isa ▁b er hent i ▁m ero kok .
▁i ▁don ' t ▁suppose ▁you ' d ▁still ▁have ▁last ▁saturday ' s ▁paper ?	▁m ung k ink a h ▁and a ▁m as i h ▁me m ili k i ▁k or an ▁sa bt u ▁ke mar in ?
▁the ▁tv ▁was ▁on ▁all ▁night .	▁tele v is i ▁men y al a ▁se p an j ang ▁mal am .
▁don ' t ▁you ▁ever ▁come ▁back .	▁j ang an ▁per na h ▁k a u ▁ke mb al i .
▁there ▁are ▁no ▁health ▁risks .	▁tid ak ▁ad a ▁res ik o - re s ik o ▁k ese hat an .
▁you ' re ▁both ▁fired .	▁k al ian ▁b er du a ▁di pe c at .
▁tom ▁and ▁i ▁both ▁like ▁sailing .	▁tom ▁dan ▁a k u ▁s ama - s ama ▁su ka ▁b erl ay ar .
▁i ' d ▁rather ▁go ▁swimming .	▁a k u ▁le bi h ▁me m ili h ▁per g i ▁be ren ang .
▁tom ▁and ▁mary ▁are ▁in ▁the ▁cafeteria .	▁tom ▁dan ▁mary ▁ad a ▁di ▁k ant in .
▁i ▁cried .	▁a k u ▁men ang is .
▁you ' ll ▁never ▁be ▁alone .	▁k am u ▁t ak ▁a k an ▁per na h ▁send i ri an .
▁i ▁should ▁have ▁taken ▁the ▁money .	▁har us n ya ▁a k u ▁tid ak ▁men g am b il ▁ u ang n ya .
▁tom ▁is ▁evil .	▁tom ▁j a hat .
▁you ▁don ' t ▁need ▁to ▁worry ▁about ▁that .	▁and a ▁tid ak ▁per l u ▁k u at ir ▁den gan ▁ha l ▁it u .
▁tom ▁always ▁wears ▁black ▁clothes .	▁tom ▁se l al u ▁me m ak ai ▁pa ka ian ▁hit am .
▁i ' ve ▁read ▁their ▁comments .	▁say a ▁su da h ▁me mb ac a ▁k om ent ar ▁mere ka .
▁this ▁is ▁absurd .	▁in i ▁k ony ol .
▁the ▁eggs ▁are ▁still ▁hot .	▁te l urn ya ▁m as i h ▁pan as .
▁i ▁am ▁busy ▁cooking ▁at ▁the ▁moment .	▁sa at ▁in i ▁say a ▁s ed ang ▁si b uk ▁me mas ak .
▁i ' ve ▁been ▁very ▁busy .	▁a k u ▁s ed ang ▁si b uk ▁se k al i .
▁she ▁killed ▁herself ▁at ▁the ▁age ▁of ▁thirty .	▁di a ▁b un u h ▁di ri ▁p ad a ▁us ia ▁tig a ▁p ul u h ▁ta h un .
▁he ' s ▁not ▁here ▁yet .	▁di a ▁m as i h ▁bel um ▁di ▁s in i .
▁i ' ll ▁phone ▁you ▁later .	▁a k u ▁a k an ▁men e le p on m u ▁n ant i .
▁i ▁don ' t ▁know ▁if ▁it ' ll ▁rain ▁tomorrow .	▁a k u ▁tid ak ▁ta h u ▁ap aka h ▁bes o k ▁a k an ▁h u j an .
▁the ▁rain ▁lasted ▁a ▁week .	▁h u j an n ya ▁b ert a han ▁se l ama ▁se ming g u .
▁he ▁was ▁popular ▁with ▁girls ▁because ▁he ▁was ▁on ▁the ▁football ▁team .	▁di a ▁ter ken al ▁di k al ang an ▁w an ita ▁ke ren a ▁di a ▁pe m ain ▁se p ak b ol a .
▁her ▁composition ▁had ▁no ▁grammatical ▁errors ▁at ▁all .	▁s ama ▁se k al i ▁tid ak ▁ad a ▁k es al a han ▁t ata ▁ba ha s a ▁p ad a ▁k ar ang an n ya .
▁thanks ▁for ▁opening ▁the ▁door .	▁ter ima ▁k as i h ▁su da h ▁me mb uk ak an ▁p in tu .
▁only ▁two ▁people ▁did ▁that .	▁han ya ▁d u a ▁orang ▁y ang ▁me l ak uk an ▁it u .
▁tom ▁is ▁one ▁of ▁our ▁best ▁players .	▁tom ▁ad al a h ▁sal a h ▁sat u ▁pe m ain ▁ter b ai k ▁k ami .
▁he ▁works ▁in ▁a ▁factory .	▁di a ▁be ker j a ▁di ▁se bu a h ▁p ab ri k .
▁did ▁tom ▁ask ▁you ▁to ▁write ▁this ?	▁ap aka h ▁tom ▁me min t am u ▁unt uk ▁men ul is ▁in i ?
▁this ▁book ▁costs ▁4 ▁dollars .	▁bu k u ▁in i ▁har g any a ▁4 ▁do lar .
▁i ▁saw ▁you ▁driving ▁by ▁my ▁house ▁this ▁morning .	▁a k u ▁me l i hat m u ▁b erk endar a ▁me lew at i ▁r um a h k u ▁p ag i ▁in i .
▁my ▁life ▁is ▁different ▁now .	▁hid up ▁say a ▁se k ar ang ▁b er bed a .
▁i ▁want ▁to ▁change ▁my ▁life .	▁a k u ▁in g in ▁men g ub a h ▁hid up k u .
▁they ▁agree .	▁mere ka ▁set u j u .
▁everybody ▁looks ▁up ▁to ▁him .	▁se m u a ▁orang ▁men ar u h ▁h orm at ▁p ad any a .
▁i ' m ▁trying ▁not ▁to ▁laugh .	▁a k u ▁b er us a ha ▁men a han ▁ta w a .
▁how ▁did ▁dinner ▁go ▁yesterday ?	▁bag a im an a ▁m ak an ▁mal am ▁ke mar in ?
▁have ▁you ▁finished ▁packing ▁yet ?	▁ap aka h ▁k a u ▁su da h ▁se les ai ▁men ge p ak n ya ?
▁where ▁are ▁they ?	▁di ▁man a ▁mere ka ?
▁how ▁many ▁rings ▁do ▁you ▁own ?	▁b er ap a ▁ban y ak ▁c inc in ▁y ang ▁k am u ▁pun ya ?
▁can ▁i ▁buy ▁you ▁a ▁drink ?	▁ma u ▁a k u ▁tra k t ir ▁min um ?
▁do ▁you ▁remember ▁tom ' s ▁telephone ▁number ?	▁ap aka h ▁k am u ▁in g at ▁n om or ▁tele p on ▁tom ?
▁i ' m ▁not ▁interested ▁in ▁chess .	▁a k u ▁tid ak ▁t ert ar ik ▁den gan ▁cat ur .
▁i ▁have ▁a ▁younger ▁sister ▁who ▁lives ▁in ▁boston .	▁a k u ▁pun ya ▁ad ik ▁pe re mp uan ▁y ang ▁t ing g al ▁di ▁boston .
▁keep ▁me ▁posted .	▁ter us ▁kab ar i ▁a k u .
▁i ' ll ▁drive ▁you ▁to ▁the ▁airport .	▁a k u ▁a k an ▁men g ant arm u ▁s amp ai ▁ke ▁band ar a .
▁the ▁garage ▁door ▁is ▁open .	▁p in tu ▁gar as i ▁ter b uk a .
▁i ' m ▁going ▁to ▁be ▁an ▁uncle .	▁a k u ▁a k an ▁men j ad i ▁se or ang ▁p am an .
▁tom ▁became ▁blind .	▁tom ▁men j ad i ▁but a .
